Species,Num Days,Biomass,Biomass sd,BiomassTop50,BiomassTop50sd,Sv,Sv sd,SvTop50,SvTop50sd
bigBW,0,,,,,,,,
bw,0,,,,,,,,
bp,0,,,,,,,,
mn,33,0.131667447,1.703488679,0.192263381,1.360960681,-53.68537968,2.313392516,-52.04119808,1.338455783
bb,15,0.137771993,1.868212633,0.212684817,1.438181457,-53.36227443,2.714263045,-51.47651896,1.578136849
