Species,Num Days,Biomass,Biomass sd,BiomassTop50,BiomassTop50sd,Sv,Sv sd,SvTop50,SvTop50sd
bigBW,24,0.251870323,1.810457671,0.318309706,1.407049087,-55.20882993,2.577883753,-54.1921011,1.483092486
bw,25,0.248158209,1.85119836,0.327198457,1.43544422,-55.27331346,2.674529569,-54.07248744,1.56986321
bp,27,0.247026772,1.854294925,0.323381598,1.400484141,-55.29315969,2.681788097,-54.12344689,1.462781954
mn,27,0.270284407,1.892219545,0.368072001,1.406557256,-54.90239,2.76971524,-53.56127209,1.481574154
