Species,Num Days,Biomass,Biomass sd,BiomassTop50,BiomassTop50sd,Sv,Sv sd,SvTop50,SvTop50sd
bigBW,0,,,,,,,,
bw,0,,,,,,,,
bp,0,,,,,,,,
mn,9,0.322936929,2.117344357,0.535628709,1.447651113,-52.70838038,3.257914958,-50.51091902,1.606639085
bb,0,,,,,,,,
